source1_entity_id	matched_entity_ids
S1-508858	S3-974198234
S1-170278	S2-546229769,S3-910802058,S3-486006855
S1-287768	S2-434102795,S2-432552461,S3-211318233
S1-343195	S2-427741933,S3-250059802,S3-974853621
S1-542980	S2-589470747,S2-197202706,S3-306732642,S3-534132350
S1-102538	S2-485178893,S3-478422609
S1-577773	S2-437251690,S2-427499303,S3-773491687,S3-418777411
S1-518527	S2-772341961,S3-573847509
S1-130063	S2-265257498,S2-449421701,S2-596181215,S3-289880299
S1-647607	S2-608018497,S3-366873477,S3-109587701
S1-784930	S2-223201546,S3-732819436
S1-448021	S2-811361279,S2-601745528,S2-382993692,S3-320300133
S1-129238	S2-812266616,S2-816733028,S3-876930201,S3-584000861
S1-748552	S2-594111220,S3-931294991,S3-425056945
S1-186492	S2-632700363,S3-836608644,S3-673995061,S3-550646777
S1-679516	S2-245153344,S3-480303574,S3-877535730
S1-654664	S2-934619035,S2-734247878
S1-538331	S2-900495724,S2-263644012,S2-450235942,S3-77747059,S3-112541728
S1-734004	S2-897006943,S3-506816280,S3-837190759
S1-193096	S2-827665191,S2-317392539,S3-723385642
S1-489376	S2-934459144,S2-411224403,S3-805367182
S1-162120	S3-55838720,S3-178530781
S1-554715	S2-18266587,S2-162661398,S3-340632578
S1-140124	S2-184841018,S2-578809120,S2-180473716,S2-217371522,S3-546253309
S1-489769	S2-294000096,S3-519003632,S3-82843301,S3-192192605
S1-481011	S2-87407365,S2-453607290,S3-831509407,S3-158577829,S3-311610229,S3-394978858
S1-728141	
S1-403699	S2-604195818,S2-831348309,S2-250416902,S3-317229228,S3-244597607
S1-540578	
S1-137155	S2-820833570,S3-661388544,S3-431927217,S3-276899683
S1-839914	S2-953975320,S3-935864278
S1-684523	S2-461320223,S3-226040389
S1-332529	S2-501410120,S2-129663398
S1-173288	S2-765335750,S3-372258757,S3-886002988,S3-342361718,S3-246963026,S3-181136322
S1-511944	S2-955572599,S2-33882051,S2-891512073,S2-701023502,S2-225537805,S3-658870174,S3-467134207
S1-165401	
S1-473414	S2-618337014,S2-538092827,S3-658896866,S3-829202268
S1-459549	S3-440640504
S1-647099	S2-803165762,S2-759311243,S3-685625525,S3-685603661
S1-459151	S2-838940265,S3-316249241
S1-771175	S2-408638050,S2-411224388,S2-508782118,S2-91481365,S3-96531584,S3-384492697,S3-71721183
S1-446770	S2-606218721,S2-625890365,S3-389781993,S3-468363991
S1-190856	S2-720354754,S2-911938564,S2-833178330,S2-604487704,S3-492929998,S3-60577739,S3-441148415,S3-403754510
S1-524771	S2-607385459,S3-194191800,S3-418234831,S3-990957207,S3-917261407
S1-573200	S2-997004549,S2-548909875,S2-234233576,S2-931632576,S3-718573722,S3-583111446,S3-463397288
S1-556282	
S1-457683	S2-462237841,S2-658189880,S2-982780099,S3-795093500,S3-837276310
S1-398616	S2-859531722,S3-413451072,S3-689581380,S3-213745079
S1-818535	S2-552359,S2-637074492,S2-783506446,S3-299754637,S3-752597078,S3-907241717,S3-522723818
S1-627919	S2-189972258,S2-639138805,S3-52431113
S1-704871	S2-420160556,S2-191224095,S2-868763682,S2-806160046,S3-386633503
S1-704862	S2-592142920,S2-196115157,S3-337916302,S3-79368093
S1-123601	S2-947216821,S2-513891720,S2-43108356,S3-952242152,S3-372233002
S1-163732	S2-886320978,S3-890049210
S1-335961	S2-212221583,S2-949916949,S3-409205745,S3-917114221
S1-801989	S2-301588468,S2-372621,S2-828099603
S1-158036	S2-979557805,S2-351345163,S2-999989470,S3-529521128,S3-541046438,S3-650280126
S1-747561	S2-112635193,S2-100386130,S3-30483470,S3-835809348
S1-87099	S2-179674865,S3-385111567,S3-813188471,S3-668158263
S1-154036	S2-200623538,S2-873484164,S3-981194094
S1-593953	S2-428463404,S2-283031326,S3-104139775
S1-699259	S2-917433061,S2-190316143,S3-610268197,S3-668567994,S3-246991814,S3-917441952
S1-51149	S2-273051225,S3-472544269,S3-513006158,S3-58123622
S1-680934	S2-266789519,S3-599253556,S3-7635446
S1-390397	S2-27286557,S3-103384952,S3-471739124
S1-107371	S2-496308162,S2-550847883,S2-426064546,S3-970927902
S1-720158	S2-135952247,S2-269340618,S3-364154782,S3-296572191,S3-797560560
S1-555062	S2-517795547,S3-496137046,S3-49906438
S1-309019	S2-414232639,S2-135830931,S3-778107854
S1-795300	S2-527855784,S2-795958628,S2-806369367
S1-498958	S2-551368824,S3-935085435,S3-897185614,S3-882553901
S1-67975	S2-170796070,S3-913782327
S1-524136	S2-208526323,S3-49681982,S3-165958758
S1-303170	
S1-135889	S2-699140529,S2-28400859,S3-431986866,S3-764606558,S3-97776947
S1-64143	S2-981236973,S2-191134780,S3-138071742,S3-955643526,S3-345558820
S1-75231	
S1-169980	S2-582549506,S2-316915803,S2-330160281,S3-153131216,S3-152804540,S3-175310592,S3-613344735
S1-565971	S2-733865471,S3-812107907,S3-809190277,S3-634399613
S1-433175	S3-868372392,S3-120649313,S3-506787199
S1-385599	S2-639213648,S2-570541357,S2-185673721,S3-640259167
S1-718419	S2-445978084,S2-867329523,S2-970028706,S3-291321200
S1-209223	S3-931399320,S3-100049287,S3-852335143
S1-566341	S2-811865134,S3-518633865,S3-33520021
S1-218523	S2-724368574,S2-321405279,S3-980148244
S1-238154	S2-784673815,S2-504435189,S2-221676246,S3-202296498,S3-700849366
S1-688100	S2-259933883,S2-64309916,S3-824406795
S1-164750	S2-833262412,S2-346548429,S3-471893822
S1-104360	S2-573042527,S3-216245236,S3-430163427
S1-824709	S2-112246404,S2-383741218,S2-92000015
S1-508414	S2-381916119,S3-877920351,S3-964060661
S1-719352	S2-724964335,S3-291750310,S3-441624385
S1-255036	S3-456876590,S3-147925620
